Lead Number,Type of Ad Seen
637203,Not Applicable
637189,Not Applicable
637188,Not Applicable
637187,Not Applicable
637184,Not Applicable
637183,Not Applicable
637178,Not Applicable
637172,Not Applicable
637169,Not Applicable
637163,Not Applicable
637161,Not Applicable
637159,Not Applicable
637156,Not Applicable
637148,Not Applicable
637140,Not Applicable
637129,Not Applicable
637125,Not Applicable
637120,Not Applicable
637107,Not Applicable
637105,Not Applicable
637079,Not Applicable
637076,Not Applicable
637074,Not Applicable
637071,Not Applicable
637070,Not Applicable
637062,Not Applicable
637048,Not Applicable
637044,Not Applicable
637039,Not Applicable
637023,Not Applicable
637014,Not Applicable
637010,Not Applicable
636991,Not Applicable
636979,Not Applicable
636978,Not Applicable
636960,Not Applicable
636950,Not Applicable
636931,Not Applicable
636930,Not Applicable
636928,Not Applicable
636907,Not Applicable
636905,Not Applicable
636901,Not Applicable
636899,Not Applicable
636898,Not Applicable
636885,Not Applicable
636884,Not Applicable
636874,Not Applicable
636860,Not Applicable
636856,Not Applicable
636855,Not Applicable
636848,Not Applicable
636840,Not Applicable
636831,Not Applicable
636823,Not Applicable
636816,Not Applicable
636809,Not Applicable
636806,Not Applicable
636799,Not Applicable
636797,Not Applicable
636774,Not Applicable
636769,Not Applicable
636766,Not Applicable
636765,Not Applicable
636746,Not Applicable
636736,Not Applicable
636731,Not Applicable
636722,Not Applicable
636687,Not Applicable
636679,Not Applicable
636677,Not Applicable
636666,Not Applicable
636665,Not Applicable
636659,Not Applicable
636647,Not Applicable
636635,Not Applicable
636619,Not Applicable
636616,Not Applicable
636584,Not Applicable
636575,Not Applicable
636564,Not Applicable
636562,Not Applicable
636547,Not Applicable
636524,Not Applicable
636516,Not Applicable
636515,Not Applicable
636471,Not Applicable
636453,Not Applicable
636452,Not Applicable
636449,Not Applicable
636443,Not Applicable
636435,Not Applicable
636432,Not Applicable
636421,Not Applicable
636420,Not Applicable
636417,Not Applicable
636410,Not Applicable
636404,Not Applicable
636403,Not Applicable
636367,Not Applicable
636356,Not Applicable
636348,Not Applicable
636345,Not Applicable
636334,Not Applicable
636317,Not Applicable
636299,Not Applicable
636280,Not Applicable
636274,Not Applicable
636273,Not Applicable
636261,Not Applicable
636241,Not Applicable
636228,Not Applicable
636225,Not Applicable
636209,Not Applicable
636208,Not Applicable
636201,Not Applicable
636192,Not Applicable
636191,Not Applicable
636186,Not Applicable
636185,Not Applicable
636182,Not Applicable
636177,Not Applicable
636174,Not Applicable
636146,Not Applicable
636127,Not Applicable
636120,Not Applicable
636112,Not Applicable
636110,Not Applicable
636092,Not Applicable
636075,Not Applicable
636073,Not Applicable
636059,Not Applicable
636054,Not Applicable
636052,Not Applicable
636033,Not Applicable
636002,Not Applicable
635999,Not Applicable
635995,Not Applicable
635990,Not Applicable
635983,Not Applicable
635971,Not Applicable
635958,Not Applicable
635948,Not Applicable
635947,Not Applicable
635923,Not Applicable
635910,Not Applicable
635908,Not Applicable
635906,Not Applicable
635898,Not Applicable
635896,Not Applicable
635889,Not Applicable
635864,Not Applicable
635851,Not Applicable
635850,Not Applicable
635849,Not Applicable
635825,Not Applicable
635823,Not Applicable
635822,Not Applicable
635816,Not Applicable
635810,Not Applicable
635809,Not Applicable
635799,Not Applicable
635794,Not Applicable
635783,Not Applicable
635782,Not Applicable
635776,Not Applicable
635762,Not Applicable
635761,Not Applicable
635757,Not Applicable
635754,Not Applicable
635742,Not Applicable
635736,Not Applicable
635732,Not Applicable
635724,Not Applicable
635711,Not Applicable
635710,Not Applicable
635706,Not Applicable
635693,Not Applicable
635686,Not Applicable
635654,Not Applicable
635638,Not Applicable
635626,Search
635613,Not Applicable
635601,Not Applicable
635587,Not Applicable
635575,Not Applicable
635574,Not Applicable
635571,Not Applicable
635570,Not Applicable
635552,Not Applicable
635498,Not Applicable
635486,Not Applicable
635475,Not Applicable
635473,Not Applicable
635453,Not Applicable
635449,Not Applicable
635448,Not Applicable
635443,Not Applicable
635434,Not Applicable
635407,Not Applicable
635406,Not Applicable
635377,Not Applicable
635375,Not Applicable
635362,Not Applicable
635351,Not Applicable
635337,Not Applicable
635332,Not Applicable
635330,Not Applicable
635329,Not Applicable
635328,Not Applicable
635319,Not Applicable
635315,Not Applicable
635314,Not Applicable
635041,Not Applicable
635028,Not Applicable
635026,Not Applicable
635021,Not Applicable
635018,Not Applicable
635017,Not Applicable
635012,Not Applicable
634997,Not Applicable
634994,Not Applicable
634986,Not Applicable
634982,Not Applicable
634981,Not Applicable
634965,Not Applicable
634963,Not Applicable
634960,Not Applicable
634919,Not Applicable
634917,Not Applicable
634915,Not Applicable
634911,Not Applicable
634902,Not Applicable
634882,Not Applicable
634878,Not Applicable
634875,Not Applicable
634868,Not Applicable
634857,Not Applicable
634850,Not Applicable
634849,Not Applicable
634847,Not Applicable
634844,Not Applicable
634843,Not Applicable
634823,Not Applicable
634817,Not Applicable
634813,Not Applicable
634799,Not Applicable
634783,Not Applicable
634782,Not Applicable
634779,Not Applicable
634776,Not Applicable
634763,Not Applicable
634758,Not Applicable
634753,Not Applicable
634731,Not Applicable
634728,Not Applicable
634708,Not Applicable
634700,Not Applicable
634699,Not Applicable
634691,Not Applicable
634690,Not Applicable
634685,Not Applicable
634669,Not Applicable
634664,Not Applicable
634647,Not Applicable
634642,Not Applicable
634641,Not Applicable
634636,Not Applicable
634632,Not Applicable
634631,Not Applicable
634627,Not Applicable
634618,Not Applicable
634607,Not Applicable
634595,Not Applicable
634594,Not Applicable
634592,Not Applicable
634560,Not Applicable
634536,Not Applicable
634529,Not Applicable
634513,Not Applicable
634511,Not Applicable
634484,Not Applicable
634478,Not Applicable
634474,Not Applicable
634466,Not Applicable
634459,Not Applicable
634422,Not Applicable
634396,Not Applicable
634389,Not Applicable
634368,Not Applicable
634356,Not Applicable
634343,Not Applicable
634320,Not Applicable
634314,Not Applicable
634310,Not Applicable
634306,Not Applicable
634298,Not Applicable
634271,Not Applicable
634263,Not Applicable
634254,Not Applicable
634244,Not Applicable
634237,Not Applicable
634228,Not Applicable
634222,Not Applicable
634217,Not Applicable
634213,Not Applicable
634190,Not Applicable
634175,Not Applicable
634167,Not Applicable
634153,Not Applicable
634127,Not Applicable
634125,Not Applicable
634106,Not Applicable
634102,Not Applicable
634094,Not Applicable
634092,Not Applicable
634084,Not Applicable
634083,Not Applicable
634082,Not Applicable
634078,Not Applicable
634068,Not Applicable
634060,Not Applicable
634057,Not Applicable
634056,Not Applicable
634053,Not Applicable
634051,Not Applicable
634047,Not Applicable
634043,Not Applicable
634040,Not Applicable
634036,Not Applicable
634029,Not Applicable
634027,Not Applicable
634024,Not Applicable
634019,Not Applicable
634018,Not Applicable
634015,Not Applicable
633999,Not Applicable
633998,Not Applicable
633996,Not Applicable
633990,Not Applicable
633983,Not Applicable
633971,Not Applicable
633965,Not Applicable
633962,Not Applicable
633959,Not Applicable
633956,Not Applicable
633945,Not Applicable
633941,Not Applicable
633939,Not Applicable
633928,Not Applicable
633926,Not Applicable
633922,Not Applicable
633921,Not Applicable
633915,Not Applicable
633914,Not Applicable
633912,Not Applicable
633910,Not Applicable
633903,Not Applicable
633904,Not Applicable
633882,Not Applicable
633878,Not Applicable
633876,Not Applicable
633871,Not Applicable
633863,Not Applicable
633862,Not Applicable
633844,Not Applicable
633842,Not Applicable
633828,Not Applicable
633825,Not Applicable
633813,Not Applicable
633810,Not Applicable
633800,Not Applicable
633795,Not Applicable
633778,Not Applicable
633777,Not Applicable
633775,Not Applicable
633770,Not Applicable
633759,Not Applicable
633746,Not Applicable
633744,Not Applicable
633731,Not Applicable
633715,Not Applicable
633680,Not Applicable
633673,Not Applicable
633646,Not Applicable
633630,Not Applicable
633621,Not Applicable
633608,Not Applicable
633605,Not Applicable
633595,Not Applicable
633562,Not Applicable
633550,Not Applicable
633548,Not Applicable
633531,Not Applicable
633527,Not Applicable
633515,Not Applicable
633484,Not Applicable
633476,Not Applicable
633475,Not Applicable
633455,Not Applicable
633453,Not Applicable
633445,Not Applicable
633443,Not Applicable
633440,Not Applicable
633407,Not Applicable
633399,Not Applicable
633392,Not Applicable
633380,Not Applicable
633375,Not Applicable
633372,Not Applicable
633361,Not Applicable
633358,Not Applicable
633341,Not Applicable
633337,Not Applicable
633335,Not Applicable
633316,Not Applicable
633312,Not Applicable
633311,Not Applicable
633307,Not Applicable
633260,Not Applicable
633243,Not Applicable
633239,Not Applicable
633182,Not Applicable
633177,Not Applicable
633175,Not Applicable
633173,Not Applicable
633166,Not Applicable
633154,Not Applicable
633149,Not Applicable
633143,Not Applicable
633140,Not Applicable
633132,Not Applicable
633126,Not Applicable
633122,Not Applicable
633120,Not Applicable
633116,Not Applicable
633114,Not Applicable
633112,Not Applicable
633105,Not Applicable
633104,Not Applicable
633070,Not Applicable
633061,Not Applicable
633046,Not Applicable
633027,Not Applicable
633014,Not Applicable
633013,Not Applicable
633009,Not Applicable
632997,Not Applicable
632988,Not Applicable
632984,Not Applicable
632948,Not Applicable
632943,Not Applicable
632942,Not Applicable
632940,Not Applicable
632936,Not Applicable
632928,Not Applicable
632926,Not Applicable
632911,Not Applicable
632908,Not Applicable
632896,Not Applicable
632895,Not Applicable
632892,Not Applicable
632890,Not Applicable
632880,Not Applicable
632876,Not Applicable
632870,Not Applicable
632869,Not Applicable
632862,Not Applicable
632851,Not Applicable
632839,Not Applicable
632837,Not Applicable
632833,Not Applicable
632831,Not Applicable
632819,Not Applicable
632816,Not Applicable
632815,Not Applicable
632807,Not Applicable
632798,Not Applicable
632790,Not Applicable
632786,Not Applicable
632785,Not Applicable
632773,Not Applicable
632772,Not Applicable
632767,Not Applicable
632763,Not Applicable
632746,Not Applicable
632733,Not Applicable
632728,Not Applicable
632721,Not Applicable
632714,Not Applicable
632702,Not Applicable
631854,Search
632666,Not Applicable
632664,Not Applicable
632660,Not Applicable
632641,Not Applicable
632629,Not Applicable
632611,Not Applicable
632608,Not Applicable
632605,Not Applicable
632565,Not Applicable
632524,Not Applicable
632515,Not Applicable
632455,Not Applicable
632449,Not Applicable
632439,Not Applicable
632435,Not Applicable
632433,Not Applicable
632428,Not Applicable
632407,Not Applicable
632387,Not Applicable
632382,Not Applicable
632381,Not Applicable
632380,Not Applicable
632374,Not Applicable
632368,Not Applicable
632365,Not Applicable
632364,Not Applicable
632358,Not Applicable
632342,Not Applicable
632341,Not Applicable
632338,Not Applicable
632323,Not Applicable
632322,Not Applicable
632303,Not Applicable
632278,Not Applicable
632274,Not Applicable
632269,Not Applicable
632263,Not Applicable
632244,Not Applicable
632243,Not Applicable
632239,Not Applicable
632237,Not Applicable
632233,Not Applicable
632224,Not Applicable
632216,Not Applicable
632210,Not Applicable
632202,Not Applicable
632196,Not Applicable
632194,Not Applicable
632178,Not Applicable
632169,Not Applicable
632159,Not Applicable
632155,Not Applicable
632143,Not Applicable
632132,Not Applicable
632105,Not Applicable
632097,Not Applicable
632067,Not Applicable
632055,Not Applicable
632041,Not Applicable
632032,Not Applicable
632031,Not Applicable
632028,Not Applicable
632017,Not Applicable
631995,Not Applicable
631993,Not Applicable
631984,Not Applicable
631967,Not Applicable
631944,Not Applicable
631919,Not Applicable
631914,Not Applicable
631894,Not Applicable
631890,Not Applicable
631889,Not Applicable
631869,Not Applicable
631864,Not Applicable
629389,Search
631837,Not Applicable
631831,Not Applicable
631819,Not Applicable
631817,Not Applicable
631812,Not Applicable
631782,Not Applicable
631781,Not Applicable
631767,Not Applicable
631766,Not Applicable
631758,Not Applicable
631753,Not Applicable
631747,Not Applicable
631746,Not Applicable
631718,Not Applicable
631712,Not Applicable
631708,Not Applicable
631706,Not Applicable
631704,Not Applicable
631699,Not Applicable
631676,Not Applicable
631670,Not Applicable
631665,Not Applicable
631662,Not Applicable
631658,Not Applicable
631653,Not Applicable
631649,Not Applicable
631647,Not Applicable
631642,Not Applicable
631641,Not Applicable
631627,Not Applicable
631621,Not Applicable
631618,Not Applicable
631614,Not Applicable
631613,Not Applicable
631597,Not Applicable
631591,Not Applicable
631587,Not Applicable
631565,Not Applicable
631563,Not Applicable
631544,Not Applicable
631540,Not Applicable
631529,Not Applicable
631526,Not Applicable
631513,Not Applicable
631507,Not Applicable
631496,Not Applicable
631489,Not Applicable
631488,Not Applicable
631482,Not Applicable
631479,Not Applicable
631477,Not Applicable
631473,Not Applicable
631467,Not Applicable
631465,Not Applicable
631460,Not Applicable
631453,Not Applicable
631445,Not Applicable
631439,Not Applicable
631431,Not Applicable
631429,Not Applicable
631420,Not Applicable
631411,Not Applicable
631408,Not Applicable
631406,Not Applicable
631405,Not Applicable
631400,Not Applicable
631395,Not Applicable
631393,Not Applicable
631392,Not Applicable
631390,Not Applicable
631375,Not Applicable
631364,Not Applicable
631362,Not Applicable
631360,Not Applicable
631355,Not Applicable
631352,Not Applicable
631346,Not Applicable
631336,Not Applicable
631333,Not Applicable
631324,Not Applicable
631318,Not Applicable
631313,Not Applicable
631307,Not Applicable
631306,Not Applicable
631282,Not Applicable
631277,Not Applicable
631268,Not Applicable
631267,Not Applicable
631255,Not Applicable
631245,Not Applicable
631243,Not Applicable
631226,Not Applicable
631168,Not Applicable
631159,Not Applicable
631155,Not Applicable
631150,Not Applicable
631122,Not Applicable
631121,Not Applicable
631108,Not Applicable
631082,Not Applicable
631079,Not Applicable
631053,Not Applicable
631047,Not Applicable
631027,Not Applicable
631018,Not Applicable
631017,Not Applicable
631014,Not Applicable
631013,Not Applicable
630972,Not Applicable
630962,Not Applicable
630952,Not Applicable
630949,Not Applicable
630946,Not Applicable
630936,Not Applicable
630918,Not Applicable
630903,Not Applicable
630888,Not Applicable
630875,Not Applicable
630863,Not Applicable
630852,Not Applicable
630846,Not Applicable
630841,Not Applicable
630840,Not Applicable
630835,Not Applicable
630828,Not Applicable
630824,Not Applicable
630816,Not Applicable
630808,Not Applicable
630804,Not Applicable
630803,Not Applicable
630801,Not Applicable
630797,Not Applicable
630784,Not Applicable
630783,Not Applicable
630779,Not Applicable
630777,Not Applicable
630775,Not Applicable
630773,Not Applicable
630765,Not Applicable
630760,Not Applicable
630757,Not Applicable
630751,Not Applicable
630746,Not Applicable
630740,Not Applicable
630736,Not Applicable
630730,Not Applicable
630728,Not Applicable
630727,Not Applicable
630722,Not Applicable
630715,Not Applicable
630712,Not Applicable
630706,Not Applicable
630701,Not Applicable
630695,Not Applicable
630689,Not Applicable
630667,Not Applicable
630663,Not Applicable
630661,Not Applicable
630654,Not Applicable
630648,Not Applicable
630630,Not Applicable
630628,Not Applicable
630627,Not Applicable
630623,Not Applicable
630610,Not Applicable
630603,Not Applicable
630597,Not Applicable
630589,Not Applicable
630568,Not Applicable
630564,Not Applicable
630552,Not Applicable
630550,Not Applicable
630529,Not Applicable
630515,Not Applicable
630510,Not Applicable
630485,Not Applicable
630462,Not Applicable
630446,Not Applicable
630437,Not Applicable
630428,Not Applicable
630427,Not Applicable
630423,Not Applicable
630422,Not Applicable
630405,Not Applicable
630403,Not Applicable
630390,Not Applicable
630386,Not Applicable
630385,Not Applicable
630367,Not Applicable
630339,Not Applicable
630335,Not Applicable
630331,Not Applicable
630287,Not Applicable
630262,Not Applicable
630244,Not Applicable
630222,Not Applicable
630219,Not Applicable
630200,Not Applicable
630193,Not Applicable
630170,Not Applicable
630168,Not Applicable
630158,Not Applicable
630139,Not Applicable
630135,Not Applicable
630128,Not Applicable
630127,Not Applicable
630118,Not Applicable
630088,Not Applicable
630083,Not Applicable
630079,Not Applicable
630052,Not Applicable
630042,Not Applicable
630041,Not Applicable
630039,Not Applicable
630013,Not Applicable
630010,Not Applicable
630003,Not Applicable
630001,Not Applicable
629976,Not Applicable
629971,Not Applicable
629969,Not Applicable
629964,Not Applicable
629956,Not Applicable
629955,Not Applicable
629942,Not Applicable
629940,Not Applicable
629932,Not Applicable
629925,Not Applicable
629918,Not Applicable
629916,Not Applicable
629915,Not Applicable
629912,Not Applicable
629911,Not Applicable
629908,Not Applicable
629884,Not Applicable
629882,Not Applicable
629876,Not Applicable
629872,Not Applicable
629871,Not Applicable
629853,Not Applicable
629825,Not Applicable
629824,Not Applicable
629811,Not Applicable
629804,Not Applicable
629803,Not Applicable
629789,Not Applicable
629786,Not Applicable
629776,Not Applicable
629768,Not Applicable
629767,Not Applicable
629765,Not Applicable
629751,Not Applicable
629746,Not Applicable
629735,Not Applicable
629734,Not Applicable
629725,Not Applicable
629721,Not Applicable
629720,Not Applicable
629707,Not Applicable
629691,Not Applicable
629684,Not Applicable
629679,Not Applicable
629671,Not Applicable
629664,Not Applicable
629658,Not Applicable
629657,Not Applicable
629654,Not Applicable
629651,Not Applicable
629645,Not Applicable
629644,Not Applicable
629641,Not Applicable
629616,Not Applicable
629610,Not Applicable
629607,Not Applicable
629602,Not Applicable
629598,Not Applicable
629595,Not Applicable
629593,Not Applicable
629592,Not Applicable
629582,Not Applicable
629561,Not Applicable
629557,Not Applicable
629556,Not Applicable
629531,Not Applicable
629524,Not Applicable
629520,Not Applicable
629519,Not Applicable
629511,Not Applicable
629507,Not Applicable
629491,Not Applicable
629483,Not Applicable
629482,Not Applicable
629468,Not Applicable
629464,Not Applicable
629451,Not Applicable
629449,Not Applicable
629447,Not Applicable
629435,Not Applicable
629432,Not Applicable
629418,Not Applicable
629414,Not Applicable
629410,Not Applicable
629404,Not Applicable
629398,Not Applicable
629390,Not Applicable
623213,Search
629378,Not Applicable
629377,Not Applicable
629371,Not Applicable
629364,Not Applicable
629363,Not Applicable
629357,Not Applicable
629355,Not Applicable
629353,Not Applicable
629350,Not Applicable
629342,Not Applicable
629334,Not Applicable
629330,Not Applicable
629308,Not Applicable
629297,Not Applicable
629293,Not Applicable
629287,Not Applicable
629280,Not Applicable
629263,Not Applicable
629261,Not Applicable
629260,Not Applicable
629251,Not Applicable
629244,Not Applicable
629243,Not Applicable
629242,Not Applicable
629232,Not Applicable
629227,Not Applicable
629222,Not Applicable
629217,Not Applicable
629118,Not Applicable
629089,Not Applicable
629083,Not Applicable
629073,Not Applicable
629056,Not Applicable
629053,Not Applicable
629031,Not Applicable
629012,Not Applicable
628986,Not Applicable
628982,Not Applicable
628963,Not Applicable
628958,Not Applicable
628949,Not Applicable
628940,Not Applicable
628929,Not Applicable
628918,Not Applicable
628916,Not Applicable
628913,Not Applicable
628908,Not Applicable
628902,Not Applicable
628885,Not Applicable
628877,Not Applicable
628845,Not Applicable
628832,Not Applicable
628791,Not Applicable
628769,Not Applicable
628768,Not Applicable
628756,Not Applicable
628754,Not Applicable
628726,Not Applicable
628707,Not Applicable
628706,Not Applicable
628694,Not Applicable
628689,Not Applicable
628685,Not Applicable
628675,Not Applicable
628666,Not Applicable
628661,Not Applicable
628658,Not Applicable
628652,Not Applicable
628642,Not Applicable
628626,Not Applicable
628615,Not Applicable
628607,Not Applicable
628594,Not Applicable
628580,Not Applicable
628578,Not Applicable
628577,Not Applicable
628570,Not Applicable
628542,Not Applicable
628536,Not Applicable
628534,Not Applicable
628524,Not Applicable
628517,Not Applicable
628512,Not Applicable
628508,Not Applicable
628500,Not Applicable
628499,Not Applicable
628482,Not Applicable
628478,Not Applicable
628474,Not Applicable
628471,Not Applicable
628469,Not Applicable
628464,Not Applicable
628462,Not Applicable
628456,Not Applicable
628453,Not Applicable
628444,Not Applicable
628438,Not Applicable
628437,Not Applicable
628432,Not Applicable
628429,Not Applicable
628428,Not Applicable
628421,Not Applicable
628419,Not Applicable
628413,Not Applicable
628411,Not Applicable
628405,Not Applicable
628396,Not Applicable
628392,Not Applicable
628379,Not Applicable
628359,Not Applicable
628357,Not Applicable
628347,Not Applicable
628344,Not Applicable
628340,Not Applicable
628332,Not Applicable
628320,Not Applicable
628309,Not Applicable
628308,Not Applicable
628304,Not Applicable
628298,Not Applicable
628297,Not Applicable
628282,Not Applicable
628273,Not Applicable
628225,Not Applicable
628220,Not Applicable
628209,Not Applicable
628208,Not Applicable
628181,Not Applicable
628164,Not Applicable
628158,Not Applicable
628153,Not Applicable
628150,Not Applicable
628149,Not Applicable
628130,Not Applicable
628129,Not Applicable
628121,Not Applicable
628113,Not Applicable
628111,Not Applicable
628094,Not Applicable
628087,Not Applicable
628080,Not Applicable
628070,Not Applicable
628066,Not Applicable
628064,Not Applicable
628062,Not Applicable
628050,Not Applicable
628048,Not Applicable
628038,Not Applicable
628034,Not Applicable
628025,Not Applicable
628023,Not Applicable
628020,Not Applicable
627999,Not Applicable
627996,Not Applicable
627983,Not Applicable
627972,Not Applicable
627970,Not Applicable
627952,Not Applicable
627935,Not Applicable
627932,Not Applicable
627916,Not Applicable
627900,Not Applicable
627877,Not Applicable
627871,Not Applicable
627853,Not Applicable
627844,Not Applicable
627833,Not Applicable
627808,Not Applicable
627806,Not Applicable
627804,Not Applicable
627798,Not Applicable
627793,Not Applicable
627775,Not Applicable
627773,Not Applicable
627772,Not Applicable
627771,Not Applicable
627769,Not Applicable
627761,Not Applicable
627759,Not Applicable
627749,Not Applicable
627744,Not Applicable
627725,Not Applicable
627715,Not Applicable
627713,Not Applicable
627706,Not Applicable
627702,Not Applicable
627699,Not Applicable
627692,Not Applicable
627687,Not Applicable
627679,Not Applicable
627665,Not Applicable
627657,Not Applicable
627656,Not Applicable
627637,Not Applicable
627632,Not Applicable
627610,Not Applicable
627604,Not Applicable
627593,Not Applicable
627590,Not Applicable
627585,Not Applicable
627571,Not Applicable
627570,Not Applicable
627560,Not Applicable
627558,Not Applicable
627553,Not Applicable
627548,Not Applicable
627546,Not Applicable
627539,Not Applicable
627538,Not Applicable
627535,Not Applicable
627531,Newspaper
627529,Not Applicable
627528,Not Applicable
627526,Not Applicable
627523,Not Applicable
627521,Not Applicable
627505,Not Applicable
627497,Not Applicable
627490,Not Applicable
627486,Not Applicable
627485,Not Applicable
627475,Not Applicable
627472,Not Applicable
627470,Not Applicable
627462,Not Applicable
627445,Not Applicable
627438,Not Applicable
627411,Not Applicable
627397,Not Applicable
627389,Not Applicable
627384,Not Applicable
627373,Not Applicable
627366,Not Applicable
627365,Not Applicable
627364,Not Applicable
627362,Not Applicable
627358,Not Applicable
627354,Not Applicable
627353,Not Applicable
627328,Not Applicable
627327,Not Applicable
627315,Not Applicable
627307,Not Applicable
627305,Not Applicable
627299,Not Applicable
627296,Not Applicable
627291,Not Applicable
627287,Not Applicable
627284,Not Applicable
627274,Not Applicable
627250,Not Applicable
627248,Not Applicable
627247,Not Applicable
627236,Not Applicable
627234,Not Applicable
627214,Not Applicable
627212,Not Applicable
627210,Not Applicable
627187,Not Applicable
627186,Not Applicable
627178,Not Applicable
627173,Not Applicable
627161,Not Applicable
627153,Not Applicable
627147,Not Applicable
627146,Not Applicable
627139,Not Applicable
627135,Not Applicable
627121,Not Applicable
627119,Not Applicable
627116,Not Applicable
627113,Not Applicable
627108,Not Applicable
627107,Not Applicable
627106,Not Applicable
627100,Not Applicable
627085,Not Applicable
627081,Not Applicable
627065,Not Applicable
627062,Not Applicable
627047,Not Applicable
627043,Not Applicable
627039,Not Applicable
627035,Not Applicable
627012,Not Applicable
627004,Not Applicable
626996,Not Applicable
626991,Not Applicable
626989,Not Applicable
626987,Not Applicable
626986,Not Applicable
626976,Not Applicable
626971,Not Applicable
626970,Not Applicable
626961,Not Applicable
626947,Not Applicable
626945,Not Applicable
626943,Not Applicable
626942,Not Applicable
626940,Not Applicable
626930,Not Applicable
626921,Not Applicable
626914,Not Applicable
626908,Not Applicable
626900,Not Applicable
626897,Not Applicable
626895,Not Applicable
626890,Not Applicable
626887,Not Applicable
626880,Not Applicable
626872,Not Applicable
626860,Not Applicable
626825,Not Applicable
626816,Not Applicable
626815,Not Applicable
626813,Not Applicable
626805,Not Applicable
626800,Not Applicable
626799,Not Applicable
626794,Not Applicable
626775,Not Applicable
626767,Not Applicable
626738,Not Applicable
626734,Not Applicable
626724,Not Applicable
626723,Not Applicable
626694,Not Applicable
626693,Not Applicable
626692,Not Applicable
626676,Not Applicable
626664,Not Applicable
626658,Not Applicable
626647,Not Applicable
626584,Not Applicable
626579,Not Applicable
626569,Not Applicable
626562,Not Applicable
626545,Not Applicable
626526,Not Applicable
626523,Not Applicable
626514,Not Applicable
626511,Not Applicable
626497,Not Applicable
626487,Not Applicable
626478,Not Applicable
626477,Not Applicable
626475,Not Applicable
626471,Not Applicable
626466,Not Applicable
626452,Not Applicable
626450,Not Applicable
626438,Not Applicable
626413,Not Applicable
626407,Not Applicable
626382,Not Applicable
626374,Not Applicable
626369,Not Applicable
626353,Not Applicable
626338,Not Applicable
626337,Not Applicable
626335,Not Applicable
626334,Not Applicable
626333,Not Applicable
626318,Not Applicable
626317,Not Applicable
626301,Not Applicable
626300,Not Applicable
626298,Not Applicable
626297,Not Applicable
626291,Not Applicable
626281,Not Applicable
626274,Not Applicable
626270,Not Applicable
626258,Not Applicable
626257,Not Applicable
626252,Not Applicable
626237,Not Applicable
626221,Not Applicable
626216,Not Applicable
626212,Not Applicable
626197,Not Applicable
626188,Not Applicable
626187,Not Applicable
626184,Not Applicable
626180,Not Applicable
626161,Not Applicable
626142,Not Applicable
626132,Not Applicable
626092,Not Applicable
626068,Not Applicable
626060,Not Applicable
626045,Not Applicable
626041,Not Applicable
626013,Not Applicable
626004,Not Applicable
626003,Not Applicable
625995,Not Applicable
625985,Not Applicable
625984,Not Applicable
625971,Not Applicable
625970,Not Applicable
625939,Not Applicable
625927,Not Applicable
625906,Not Applicable
625894,Not Applicable
625892,Not Applicable
625888,Not Applicable
625886,Not Applicable
625880,Not Applicable
625867,Not Applicable
625866,Not Applicable
625862,Not Applicable
625850,Not Applicable
625835,Not Applicable
625824,Not Applicable
625793,Not Applicable
625785,Not Applicable
625767,Not Applicable
625756,Not Applicable
625738,Not Applicable
625727,Not Applicable
625726,Not Applicable
625713,Not Applicable
625702,Not Applicable
625683,Not Applicable
625680,Not Applicable
625678,Not Applicable
625676,Not Applicable
625651,Not Applicable
625602,Not Applicable
625601,Not Applicable
625600,Not Applicable
625590,Not Applicable
625581,Not Applicable
625579,Not Applicable
625565,Not Applicable
625541,Not Applicable
625540,Not Applicable
625523,Not Applicable
625499,Not Applicable
625453,Not Applicable
625433,Not Applicable
625427,Not Applicable
625411,Not Applicable
625410,Not Applicable
625394,Not Applicable
625380,Not Applicable
625316,Not Applicable
625303,Not Applicable
625289,Not Applicable
625286,Not Applicable
625275,Not Applicable
625253,Not Applicable
625222,Not Applicable
625220,Not Applicable
625188,Not Applicable
625185,Not Applicable
625176,Not Applicable
625137,Not Applicable
625124,Not Applicable
625120,Not Applicable
625063,Not Applicable
625058,Not Applicable
625027,Not Applicable
625012,Not Applicable
625011,Not Applicable
625008,Not Applicable
624995,Not Applicable
624983,Not Applicable
624973,Not Applicable
624965,Not Applicable
624960,Not Applicable
624947,Not Applicable
624942,Not Applicable
624925,Not Applicable
624871,Not Applicable
624860,Not Applicable
624855,Not Applicable
624838,Not Applicable
624831,Not Applicable
624830,Not Applicable
624817,Not Applicable
624815,Not Applicable
624762,Not Applicable
624747,Not Applicable
624732,Not Applicable
624728,Not Applicable
624727,Not Applicable
624716,Not Applicable
624715,Not Applicable
624704,Not Applicable
624700,Not Applicable
624682,Not Applicable
624679,Not Applicable
624673,Not Applicable
624649,Not Applicable
624642,Not Applicable
624638,Not Applicable
624623,Not Applicable
624594,Not Applicable
624586,Not Applicable
624582,Not Applicable
624575,Not Applicable
624568,Not Applicable
624563,Not Applicable
624546,Not Applicable
624544,Not Applicable
624537,Not Applicable
624534,Not Applicable
624527,Not Applicable
624520,Not Applicable
624500,Not Applicable
624495,Not Applicable
624488,Not Applicable
624486,Not Applicable
624449,Not Applicable
624446,Not Applicable
624439,Not Applicable
624438,Not Applicable
624434,Not Applicable
624431,Not Applicable
624430,Not Applicable
624426,Not Applicable
624423,Not Applicable
624415,Not Applicable
624397,Not Applicable
